name,category,asr_model,genai_model,sum_num_words,coverage
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,331,0.30513595166163143
auto-immuunziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,433,0.43187066974595845
bewegingsapparaat,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,473,0.427061310782241
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,407,0.48402948402948404
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,433,0.39260969976905313
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,476,0.5126050420168067
oncologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,506,0.41106719367588934
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,472,0.7033898305084746
hulpverleners,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,603,0.8175787728026535
interview-113,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,524,0.7194656488549618
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,555,0.6972972972972973
ouderen-zorg,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,703,0.647226173541963
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,662,0.6601208459214502
verzorgings-staat,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,659,0.701062215477997
angststoornis,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,486,0.41358024691358025
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,608,0.45230263157894735
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,815,0.43190184049079755
intake-bedrijf,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,791,0.47661188369152974
misbruik,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,724,0.35497237569060774
studie,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,719,0.4756606397774687
vrijheden,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,762,0.4015748031496063
abdomen,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,477,0.570230607966457
ademhaling,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,235,0.34893617021276596
auto-immuunziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,485,0.5092783505154639
bewegingsapparaat,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,515,0.45048543689320386
diabetes,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,398,0.41959798994974873
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,444,0.42342342342342343
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,571,0.4903677758318739
