name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_Haiku_4.5,197,"[0.62039, 0.59768, 0.60882]",0.14795918367346939,0.46972288744440643,0.6040609137055838,0.0,0.33112991228699684
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,218,"[0.49978, 0.49948, 0.49963]",0.08333333333333333,0.5022786458333334,0.38990825688073394,0.0,0.3265951450448483
baan,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,310,"[0.54018, 0.56878, 0.55411]",0.06722689075630252,0.1354913861811048,0.7032258064516129,0.0,0.3977606811871131
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Haiku_4.5,259,"[0.48801, 0.50694, 0.49729]",0.09444444444444444,0.1353035143769968,0.7258687258687259,0.0,0.24619918254514536
antidepressiva,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,261,"[0.37531, 0.36185, 0.36846]",0.009852216748768473,0.2594863932541204,0.2720306513409962,0.0,0.39210276743944955
GGZ-exposure-therapie,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,127,"[0.46152, 0.48702, 0.47393]",0.02564102564102564,0.035631071441373625,0.6220472440944882,0.0,0.5030466403279986
hartziekten,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,241,"[0.4399, 0.46788, 0.45346]",0.08294930875576037,0.49184149184149184,0.24066390041493776,0.0,0.34499982620278996
ouder-worden-2040,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,76,"[0.5284, 0.43367, 0.47637]",0.014652014652014652,0.049254642141051345,0.6447368421052632,0.0,0.482963901758194
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,228,"[0.594, 0.54534, 0.56863]",0.12790697674418605,0.49436147516001216,0.5482456140350878,0.0,0.2865324116178921
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,261,"[0.37531, 0.36185, 0.36846]",0.009852216748768473,0.2594863932541204,0.2720306513409962,0.0,0.39210276743944955
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,260,"[0.26061, 0.24204, 0.25098]",0.0,0.12421065538593587,0.38846153846153847,0.0,0.43764250243411346
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,167,"[0.49519, 0.52489, 0.5096]",0.06159420289855073,0.04176640823180535,1.1676646706586826,0.0,0.40651393433411914
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Haiku_4.5,70,"[0.41589, 0.18202, 0.25322]",0.003194888178913738,0.035524098415908326,0.5571428571428572,0.0,0.37394237220287324
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Haiku_4.5,260,"[0.26061, 0.24204, 0.25098]",0.0,0.12421065538593587,0.38846153846153847,0.0,0.43764250243411346
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,273,"[0.63147, 0.62726, 0.62936]",0.1757188498402556,0.13758004718570946,1.7032967032967032,0.0,0.45692702350409137
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,171,"[0.55654, 0.57712, 0.56664]",0.07987220447284345,0.07745197168857432,1.2280701754385965,0.0,0.31930885650217533
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,242,"[0.45399, 0.43626, 0.44495]",0.08786610878661087,0.40408357075023743,0.29338842975206614,0.0,0.4297065573434035
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,178,"[0.53523, 0.56083, 0.54773]",0.10555555555555556,0.3676071622354856,0.34831460674157305,0.0,0.3609051797538996
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Haiku_4.5,163,"[0.54793, 0.55836, 0.55309]",0.04395604395604396,0.03295643789990359,0.9815950920245399,0.0,0.2482199426740408
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,153,"[0.59809, 0.58846, 0.59324]",0.10204081632653061,0.3547724940130003,0.8823529411764706,0.0,0.40202497933059933
ouderen-zorg,interviews,gt,transcript_Haiku_4.5,365,"[1.0, 1.0, 1.0]",1.0,0.07894352411838607,0.9506849315068493,0.0,0.40736421129920264
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,300,"[0.61041, 0.59471, 0.60246]",0.08677685950413223,0.7158970743743391,0.5033333333333333,0.0,0.24762894992123952
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_Haiku_4.5,361,"[1.0, 1.0, 1.0]",1.0,0.16309904153354632,1.5623268698060941,0.0,0.2072777555961358
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,185,"[0.67286, 0.65816, 0.66543]",0.1087866108786611,0.31457739791073125,0.7513513513513513,0.0,0.38804532860716184
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,137,"[0.56365, 0.54875, 0.5561]",0.0875,0.3076171875,0.5328467153284672,0.0,0.4056999431076375
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Haiku_4.5,315,"[0.51839, 0.57087, 0.54336]",0.12605042016806722,0.12212617252161118,0.6285714285714286,0.0,0.3947155237197876
