name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
antidepressiva,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,649,"[0.72501, 0.71774, 0.72136]",0.32653061224489793,0.49099271751628976,1.061633281972265,0.0,0.391695736358181
baan,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,837,"[0.76677, 0.76872, 0.76774]",0.3102310231023102,0.3213782110232358,0.954599761051374,0.0,0.47200831641321594
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,645,"[0.6893, 0.68106, 0.68515]",0.36507936507936506,0.16352852906498982,1.8713178294573642,0.0,0.323315111213717
seksuele-voorlichting,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,662,"[0.71365, 0.71897, 0.7163]",0.4439461883408072,0.3113582743511965,1.5634441087613293,0.0,0.3237216058990051
baan,Psychologische gespreksvoering,Qwen3 ASR 1.7B,transcript_Opus-4.8,815,"[0.76894, 0.78142, 0.77513]",0.3927392739273927,0.3122432714119306,0.8662576687116564,0.0,0.4674538635626072
seksuele-voorlichting,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,661,"[0.70051, 0.7306, 0.71524]",0.4857997010463378,0.3009100101112235,2.1074130105900153,0.0,0.38177803182043135
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,538,"[0.81842, 0.83668, 0.82745]",0.39461883408071746,0.2552072800808898,1.771375464684015,0.0,0.27825503366497845
neurologie,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,476,"[0.8104, 0.80555, 0.80796]",0.4255725190839695,0.731718898385565,1.2563025210084033,0.0,0.5298486232757569
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,488,"[0.75906, 0.73493, 0.7468]",0.42332613390928725,0.8372219207813347,1.0491803278688525,0.0,0.3950052637606859
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,633,"[0.66924, 0.65931, 0.66424]",0.3819444444444444,0.14313261460250679,1.2085308056872037,0.0,0.31893843750003725
diabetes,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,574,"[0.75415, 0.74255, 0.74831]",0.40045766590389015,1.3075607252822443,1.0017421602787457,0.0,0.3575195457595281
ouderen-zorg,interviews,gt,transcript_Opus-4.8,865,"[1.0, 1.0, 1.0]",1.0,0.19271335495369152,1.5283236994219653,0.0,0.355231653810257
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Opus-4.8,395,"[0.74809, 0.77184, 0.75978]",0.42116630669546434,0.8780401832922101,0.8126582278481013,0.0,0.3099833079255544
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_Opus-4.8,775,"[1.0, 1.0, 1.0]",1.0,0.40391373801916935,1.487741935483871,0.0,0.34394616629321906
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,513,"[0.75111, 0.75007, 0.75059]",0.4446564885496183,0.7473884140550807,1.1715399610136452,0.0,0.49911918467090977
oncologie,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,453,"[0.76454, 0.77506, 0.76976]",0.4461805555555556,0.8981119791666666,1.205298013245033,0.0,0.46343390422838704
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Opus-4.8,688,"[0.79023, 0.79224, 0.79123]",0.37073707370737075,0.2715958555575992,0.9418604651162791,0.0,0.49597012831105125
angststoornis,Psychologische gespreksvoering,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,414,"[0.80178, 0.81459, 0.80813]",0.3952483801295896,0.9213958406767713,0.8888888888888888,0.0,0.3345238915472119
interview-113,interviews,gt,transcript_Opus-4.8,568,"[1.0, 1.0, 1.0]",1.0,0.43705577641248045,1.9278169014084507,0.0,0.5013604785861641
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,598,"[0.79746, 0.79685, 0.79716]",0.554806070826307,0.4015343038967832,1.7591973244147157,0.0,0.5100757855436077
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,566,"[0.7957, 0.78257, 0.78908]",0.5193929173693086,0.3682329352279662,1.9734982332155477,0.0,0.5665497004985809
studie,Psychologische gespreksvoering,gt,transcript_Opus-4.8,621,"[1.0, 1.0, 1.0]",1.0,0.5360583539774291,1.2190016103059582,0.0,0.3759858316608838
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,663,"[0.87217, 0.85641, 0.86422]",0.5825688073394495,0.3341096760533559,2.9306184012066363,0.0,0.5533629291587405
baan,Psychologische gespreksvoering,gt,transcript_Opus-4.8,910,"[1.0, 1.0, 1.0]",1.0,0.3440622892526516,0.9692307692307692,0.0,0.4725923977973985
diabetes,Dokter Patient,gt,transcript_Opus-4.8,438,"[1.0, 1.0, 1.0]",1.0,0.9777625726992816,1.08675799086758,0.0,0.350579496123828
interview-113,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,568,"[0.72991, 0.73412, 0.73201]",0.47619047619047616,0.45006625707746056,2.2288732394366195,0.0,0.4818426839731358
hartziekten,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,433,"[0.75432, 0.72818, 0.74102]",0.3720430107526882,0.7788461538461539,0.8498845265588915,0.0,0.3668360053561628
