name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
t,Test,NVIDIA Canary 1B v2,gpt-4o,23,"[0.33374908566474915, 0.2835278809070587, 0.30659550428390503]",0.0,0.9705882352941176,0.07692307692307693,0.07692307692307693,0.3414159333333373
t-2,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,82,"[0.7574881911277771, 0.7376348376274109, 0.7474296689033508]",0.2125,0.5087064676616916,0.8088235294117647,0.39705882352941174,0.2669293463230133
t-2,Test,NVIDIA Canary 1B v2,gpt-4o,82,"[0.8124499320983887, 0.7944186925888062, 0.8033331632614136]",0.3125,0.5597014925373134,0.5789473684210527,0.3684210526315789,0.2775449216365814
t-1,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,92,"[0.863201916217804, 0.8345844745635986, 0.8486520648002625]",0.4777777777777778,0.44660194174757284,0.6486486486486487,0.40540540540540543,0.5246831079324087
t-1,Test,NVIDIA Canary 1B v2,gpt-4o,92,"[0.8353846669197083, 0.8152822852134705, 0.8252110481262207]",0.5222222222222223,0.4320388349514563,0.8985507246376812,0.463768115942029,0.4601882487535477
t-3,Test,NVIDIA Canary 1B v2,gemini-2.5-flash,61,"[0.7555997371673584, 0.7362373471260071, 0.7457929253578186]",0.01694915254237288,0.2297734627831715,0.6571428571428571,0.37142857142857144,0.5451644100248814
t-3,Test,NVIDIA Canary 1B v2,gpt-4o,61,"[0.8089077472686768, 0.8007568717002869, 0.8048116564750671]",0.23728813559322035,0.2750809061488673,0.375,0.325,0.4648979278281331
t-1,Test,gt,gpt-4o,92,,,0.5398058252427185,1.054945054945055,0.5494505494505495,0.5634450887640318
t-3,Test,gt,gpt-4o,61,,,0.4261057173678533,0.4,0.3333333333333333,0.3854477949440479
t,Test,gt,gpt-4o,23,,,1.838235294117647,0.2727272727272727,0.2727272727272727,0.48044057190418243
t-2,Test,gt,gpt-4o,82,,,0.599502487562189,0.8518518518518519,0.4074074074074074,0.29100146641333896
